,id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,ballTimestamp,currentInning.id,currentInning.balls,currentInning.runs,currentInning.wickets,currentInning.team.name,currentInning.team.shortName,matchOver.maiden,matchOver.runs,matchOver.wickets,matchOver.totalRuns,matchOver.totalWicket,matchOver.runRate,matchOver.requiredRunRate,matchOver.batsmen,matchOver.bowlers,matchOver.teamShortName,matchOver.remainingOvers,matchOver.remainingBalls,matchOver.remainingRuns,matchWicket.id,matchWicket.batsmanName,matchWicket.bowlerName,matchWicket.batsmanRuns,matchWicket.batsmanBalls,matchWicket.text
22,216060,6,16,2,"Naseem Shah to Pandya, 2 runs","short outside off, gets it to kick up quite high. Manages to keep the pull down to the right of deep midwicket, and they hurry through for two. Superb over, just the six runs off it",,,False,False,False,False,"[{'id': '625371', 'name': 'Hardik Pandya', 'runs': 37, 'balls': 32}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 46, 'balls': 42}]","[{'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 3, 'maidens': 0, 'runs': 21, 'wickets': 2}]",1666524514000,244922,102,112,4,India,IND,False,6.0,0.0,112.0,4.0,6.58,16.0,"[{'id': '625371', 'name': 'Hardik Pandya', 'runs': 37, 'balls': 32}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 46, 'balls': 42}]","[{'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}, {'id': '1161606', 'name': 'Haris Rauf', 'overs': 3, 'maidens': 0, 'runs': 21, 'wickets': 2}]",IND,3.0,18.0,48.0,,,,,,
21,217010,1,17,4,"Shaheen Shah Afridi to Kohli, FOUR","stunning. Shot of Kohli's innings so far, and it brings up his fifty. Looks for the hard length, errs slightly on the short side, and Kohli pulls it firmly and finds the gap to the right of deep midwicket. Nearly clears the boundary too, but it's one-bounce","<p>48 off the last three. Nawaz still has that one over remaining, but India can't bank entirely on that one over. Shaheen comes back to bowl his fourth. Third man and fine leg inside the circle. Round the wicket.</p>",,False,False,False,True,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 50, 'balls': 43}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 37, 'balls': 32}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 3.1, 'maidens': 0, 'runs': 21, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",1666524624000,244922,103,116,4,India,IND,,,,,,,,,,,,,,,,,,,
20,217020,2,17,1,"Shaheen Shah Afridi to Kohli, 1 wide","looks to spear in the yorker, ends up slanting it down the leg side. Left alone",,,True,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 50, 'balls': 43}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 37, 'balls': 32}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 3.1, 'maidens': 0, 'runs': 22, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",1666524657000,244922,103,117,4,India,IND,,,,,,,,,,,,,,,,,,,
19,217030,2,17,2,"Shaheen Shah Afridi to Kohli, 2 runs","looks for the yorker again, bowls a low full-toss angling into middle and leg. Makes room and drives to deep cover",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 52, 'balls': 44}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 37, 'balls': 32}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 3.2, 'maidens': 0, 'runs': 24, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",1666524693000,244922,104,119,4,India,IND,,,,,,,,,,,,,,,,,,,
18,217040,3,17,4,"Shaheen Shah Afridi to Kohli, FOUR","Lovely placement, and he's managed to get just enough power on it. Makes room, and Afridi looks to follow him with the yorker. Can't quite get his line or length right, and Kohli lifts the low full-toss over extra-cover, and manages to dribble the ball over the boundary, beating long-off and sweeper cover in the process",,,False,False,False,True,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 56, 'balls': 45}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 37, 'balls': 32}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 3.3, 'maidens': 0, 'runs': 28, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",1666524726000,244922,105,123,4,India,IND,,,,,,,,,,,,,,,,,,,
17,217050,4,17,1,"Shaheen Shah Afridi to Kohli, 1 run","short, shoulder-high on the stumps. The pull hits the high part of the bat and rolls down to the right of long-on",<p>Over the wicket now.</p>,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 57, 'balls': 46}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 37, 'balls': 32}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 3.4, 'maidens': 0, 'runs': 29, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",1666524780000,244922,106,124,4,India,IND,,,,,,,,,,,,,,,,,,,
16,217060,5,17,1,"Shaheen Shah Afridi to Pandya, 1 run","shortish slower ball finishing wide of off stump, flat-batted to extra-cover",,,False,False,False,False,"[{'id': '625371', 'name': 'Hardik Pandya', 'runs': 38, 'balls': 33}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 57, 'balls': 46}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 3.5, 'maidens': 0, 'runs': 30, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",1666524900000,244922,107,125,4,India,IND,,,,,,,,,,,,,,,,,,,
15,217070,6,17,4,"Shaheen Shah Afridi to Kohli, FOUR","shot, and it's gone all the way! Terrific, swivelling hook from Kohli! Shaheen goes short, and it ends up just above hip high. steps across, swivels on his back leg, and helps the ball over short fine leg. Times it absolutely perfectly too",,,False,False,False,True,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 61, 'balls': 47}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 38, 'balls': 33}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",1666524858000,244922,108,129,4,India,IND,False,17.0,0.0,129.0,4.0,7.16,15.5,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 61, 'balls': 47}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 38, 'balls': 33}]","[{'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}, {'id': '1158088', 'name': 'Naseem Shah', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 1}]",IND,2.0,12.0,31.0,,,,,,
14,218010,1,18,1,"Haris Rauf to Pandya, 1 run","Length ball angling into the corridor, sits deep in his crease and flat-bats it along the ground to deep midwicket","<p>Well then. It's down to 31 off 12. What a partnership this has been. Rauf to finish off, which means Nawaz will bowl the 20th.</p>",,False,False,False,False,"[{'id': '625371', 'name': 'Hardik Pandya', 'runs': 39, 'balls': 34}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 61, 'balls': 47}]","[{'id': '1161606', 'name': 'Haris Rauf', 'overs': 3.1, 'maidens': 0, 'runs': 22, 'wickets': 2}, {'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}]",1666524939000,244922,109,130,4,India,IND,,,,,,,,,,,,,,,,,,,
13,218020,2,18,1,"Haris Rauf to Kohli, 1 run","length ball outside off, slapped on the bounce to deep cover point",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 62, 'balls': 48}, {'id': '625371', 'name': 'Hardik Pandya', 'runs': 39, 'balls': 34}]","[{'id': '1161606', 'name': 'Haris Rauf', 'overs': 3.2, 'maidens': 0, 'runs': 23, 'wickets': 2}, {'id': '1072470', 'name': 'Shaheen Shah Afridi', 'overs': 4, 'maidens': 0, 'runs': 34, 'wickets': 0}]",1666524988000,244922,110,131,4,India,IND,,,,,,,,,,,,,,,,,,,
