,Unnamed: 0,id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,ballTimestamp,currentInning.id,currentInning.balls,currentInning.runs,currentInning.wickets,currentInning.team.name,currentInning.team.shortName,matchOver.maiden,matchOver.runs,matchOver.wickets,matchOver.totalRuns,matchOver.totalWicket,matchOver.runRate,matchOver.requiredRunRate,matchOver.batsmen,matchOver.bowlers,matchOver.teamShortName,matchOver.remainingOvers,matchOver.remainingBalls,matchOver.remainingRuns,matchWicket.id,matchWicket.batsmanName,matchWicket.bowlerName,matchWicket.batsmanRuns,matchWicket.batsmanBalls,matchWicket.text
58,16,29040,4,9,0,"Kulasekara to Kohli, no run"," , politely landed on a length outside off and  gets forward to play it into the off side",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 13}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 15, 'balls': 29}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 3.4, 'maidens': 0, 'runs': 23, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 2, 'maidens': 0, 'runs': 6, 'wickets': 0}]",0.0,85915,59,41,2,India,IND,,,,,,,,,,,,,,,,,,,
59,15,29050,5,9,0,"Kulasekara to Kohli, no run","short of a length on middle and leg,  gets behind the line and forces it to mid on",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 14}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 15, 'balls': 29}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 3.5, 'maidens': 0, 'runs': 23, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 2, 'maidens': 0, 'runs': 6, 'wickets': 0}]",0.0,85915,60,41,2,India,IND,,,,,,,,,,,,,,,,,,,
60,14,29060,6,9,0,"Kulasekara to Kohli, no run","that seemed to kick on from a length, albeit at  ,  got half forward and took the top hand off as he defended to the off side",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 15}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 15, 'balls': 29}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 2, 'maidens': 0, 'runs': 6, 'wickets': 0}]",0.0,85915,61,41,2,India,IND,False,6.0,0.0,41.0,2.0,4.1,5.85,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 15}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 15, 'balls': 29}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 2, 'maidens': 0, 'runs': 6, 'wickets': 0}]",IND,40.0,240.0,234.0,,,,,,
61,13,210010,1,10,4,"Perera to Gambhir, FOUR","top shot from , he again shimmies down the track and converts a good length ball into a half volley, it was on his pads too and he just lofted it through the line over midwicket.  knows he was done in by some smart footwork. He just smiles.",<p><b>Bowling Powerplay taken.</b></p>,,False,False,False,True,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 19, 'balls': 30}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 15}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 2.1, 'maidens': 0, 'runs': 10, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}]",0.0,85915,62,45,2,India,IND,,,,,,,,,,,,,,,,,,,
62,12,210020,2,10,2,"Perera to Gambhir, 2 runs","tucked away for two more,  conscious of the charge drops short and on the hips,  clips backward of square leg for a couple more",,,False,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 21, 'balls': 31}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 15}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 2.2, 'maidens': 0, 'runs': 12, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}]",0.0,85915,63,47,2,India,IND,,,,,,,,,,,,,,,,,,,
63,11,210030,3,10,1,"Perera to Gambhir, 1 run"," angles this one across at back of a length,  steers to third man for a single",,,False,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 22, 'balls': 32}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 15}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 2.3, 'maidens': 0, 'runs': 13, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}]",0.0,85915,64,48,2,India,IND,,,,,,,,,,,,,,,,,,,
64,10,210040,4,10,0,"Perera to Kohli, no run","over-pitched outside off, 's feet are moving alright now as he drives fluently into the covers",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 16}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 22, 'balls': 32}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 2.4, 'maidens': 0, 'runs': 13, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}]",0.0,85915,65,48,2,India,IND,,,,,,,,,,,,,,,,,,,
65,9,210050,5,10,0,"Perera to Kohli, no run","back of a length ball outside off,  meets it with a half trot across and defends to the off side",,"<p>Sumesh: ""I stopped watching the streaming and India has started to get back slowly. I shall remain loyal to Cricinfo till end of the game. I promise!""</p><p>Prathap: ""Things are still fine except for this bloody pressure of being CWC finals!!!""</p>",False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 6, 'balls': 17}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 22, 'balls': 32}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 2.5, 'maidens': 0, 'runs': 13, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}]",0.0,85915,66,48,2,India,IND,,,,,,,,,,,,,,,,,,,
66,8,210060,6,10,2,"Perera to Kohli, 2 runs","aggressive running, and it induces a misfield. Fifty is up for India.  check drives to mid on and hustles away. Mid on charges in and looks to under-arm, but ends up not picking the ball. They come back for a second.",,,False,False,False,False,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 8, 'balls': 18}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 22, 'balls': 32}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}]",0.0,85915,67,50,2,India,IND,False,9.0,0.0,50.0,2.0,4.54,5.76,"[{'id': '253802', 'name': 'Virat Kohli', 'runs': 8, 'balls': 18}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 22, 'balls': 32}]","[{'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}, {'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4, 'maidens': 0, 'runs': 23, 'wickets': 0}]",IND,39.0,234.0,225.0,,,,,,
67,7,211010,1,11,1,"Kulasekara to Gambhir, 1 run","hmm, feeler full and wide of off stump,  drives uppishly but short of and just wide of point for a single",,,False,False,False,False,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 23, 'balls': 33}, {'id': '253802', 'name': 'Virat Kohli', 'runs': 8, 'balls': 18}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 4.1, 'maidens': 0, 'runs': 24, 'wickets': 0}, {'id': '233514', 'name': 'Thisara Perera', 'overs': 3, 'maidens': 0, 'runs': 15, 'wickets': 0}]",0.0,85915,68,51,2,India,IND,,,,,,,,,,,,,,,,,,,
